file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\actions\FileArtifactValue.java,com.google.devtools.build.lib.actions.FileArtifactValue$HashedDirectoryArtifactValue,,6,33,10,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\query2\FilteredDirectRdepsInUniverseExpressionMapper.java,com.google.devtools.build.lib.query2.FilteredDirectRdepsInUniverseExpressionMapper,,14,88,11,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\serialization\SharedValueSerializationContext.java,com.google.devtools.build.lib.skyframe.serialization.SharedValueSerializationContext$FuturePut,,2,11,2,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\remote\GrpcCacheClientTest.java,com.google.devtools.build.lib.remote.GrpcCacheClientTest$Anonymous3$Anonymous4,,1,15,3,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\common\options\processor\optiontestsources\OptionWithContradictingUnknownEffects.java,com.google.devtools.common.options.processor.optiontestsources.OptionWithContradictingUnknownEffects,,2,3,0,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\cmdline\ParallelVisitor.java,com.google.devtools.build.lib.cmdline.ParallelVisitor$VisitTask,,7,15,3,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\collect\compacthashmap\CompactHashMap.java,com.google.devtools.build.lib.collect.compacthashmap.CompactHashMap$Anonymous1,,1,5,1,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,,26,86,18,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\common\options\OptionsParserTest.java,com.google.devtools.common.options.OptionsParserTest$ExampleIncompatibleWithFoo,,2,3,0,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\collect\compacthashmap\CompactHashMap.java,com.google.devtools.build.lib.collect.compacthashmap.CompactHashMap$Anonymous3,,1,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\remote\http\HttpCacheClientTest.java,com.google.devtools.build.lib.remote.http.HttpCacheClientTest$TestServer,,2,4,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\collect\compacthashmap\CompactHashMap.java,com.google.devtools.build.lib.collect.compacthashmap.CompactHashMap$Anonymous2,,3,5,1,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\attribute\visitor\AllAttributeVisitor.java,proguard.classfile.attribute.visitor.AllAttributeVisitor,,12,34,10,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\DirectoryWriter.java,proguard.io.DirectoryWriter,,3,34,14,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\runtime\GCStatsRecorder.java,com.google.devtools.build.lib.runtime.GCStatsRecorder$GCStat,,0,22,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\ActionLookupConflictFindingValue.java,com.google.devtools.build.lib.skyframe.ActionLookupConflictFindingValue,,7,30,3,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\actions\ResourceManagerTest.java,com.google.devtools.build.lib.actions.ResourceManagerTest,,21,563,50,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\io\ProgramClassWriter.java,proguard.classfile.io.ProgramClassWriter$ElementValueBodyWriter,,11,19,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\profiler\CommandProfilerModule.java,com.google.devtools.build.lib.profiler.CommandProfilerModule,,12,76,13,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\remote\downloader\GrpcRemoteDownloader.java,com.google.devtools.build.lib.remote.downloader.GrpcRemoteDownloader,,27,124,23,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\ToplevelStarlarkAspectFunction.java,com.google.devtools.build.lib.skyframe.ToplevelStarlarkAspectFunction$TransitionedBaseConfigurationProducer,,12,34,7,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\metrics\MetricsCollectorTest.java,com.google.devtools.build.lib.metrics.MetricsCollectorTest$BuildMetricsEventListener,,4,9,2,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\DiffAwarenessManagerTest.java,com.google.devtools.build.lib.skyframe.DiffAwarenessManagerTest$DiffAwarenessStub,,8,55,12,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\packages\StarlarkProvider.java,com.google.devtools.build.lib.packages.StarlarkProvider$Key,,5,37,10,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\LocalRepositoryLookupFunctionTest.java,com.google.devtools.build.lib.skyframe.LocalRepositoryLookupFunctionTest,,31,57,6,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\runtime\SkymeldUiStateTracker.java,com.google.devtools.build.lib.runtime.SkymeldUiStateTracker$BuildStatus,,0,1,0,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\analysis\producers\PrerequisitesProducer.java,com.google.devtools.build.lib.analysis.producers.PrerequisitesProducer$ResultSink,,6,8,6,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\windows\WindowsSubprocessTest.java,com.google.devtools.build.lib.windows.WindowsSubprocessTest,,13,137,14,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\analysis\constraints\RuleContextConstraintSemantics.java,com.google.devtools.build.lib.analysis.constraints.RuleContextConstraintSemantics$RuleClassDefaultsProvider,,5,16,3,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\packages\OutputFileTest.java,com.google.devtools.build.lib.packages.OutputFileTest,,10,87,15,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\BazelBuiltinCommandModule.java,com.google.devtools.build.lib.bazel.BazelBuiltinCommandModule,,2,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\net\starlark\java\annot\processor\testsources\SelfCallWithStructField.java,net.starlark.java.annot.processor.testsources.SelfCallWithStructField,,2,5,1,,,,,,,,,
