file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\dubbo\dubbo-registry\dubbo-registry-api\src\main\java\org\apache\dubbo\registry\integration\InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,,11,25,6,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-reactive\src\main\java\org\apache\dubbo\reactive\handler\OneToOneMethodHandler.java,org.apache.dubbo.reactive.handler.OneToOneMethodHandler,,7,13,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-rpc\dubbo-rpc-dubbo\src\main\java\org\apache\dubbo\rpc\protocol\dubbo\Constants.java,org.apache.dubbo.rpc.protocol.dubbo.Constants,,0,15,0,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\utils\Pair.java,org.apache.dubbo.common.utils.Pair,,4,79,29,,,,,,,,,
C:\oodass1\dubbo\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\filter\ActiveLimitFilter.java,org.apache.dubbo.rpc.filter.ActiveLimitFilter,,11,61,13,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,,1,16,4,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,,1,22,6,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl0,,0,10,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-rest-openapi\src\main\java\org\apache\dubbo\rpc\protocol\tri\rest\support\swagger\WebjarHelper.java,org.apache.dubbo.rpc.protocol.tri.rest.support.swagger.WebjarHelper,,5,39,11,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\main\java\org\apache\dubbo\config\context\ConfigMode.java,org.apache.dubbo.config.context.ConfigMode,,0,6,0,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\ConverterTest.java,org.apache.dubbo.common.convert.ConverterTest,,8,23,5,,,,,,,,,
C:\oodass1\dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\beans\factory\annotation\MergedAnnotationTest.java,org.apache.dubbo.config.spring.beans.factory.annotation.MergedAnnotationTest$TestBean2,,2,3,0,,,,,,,,,
C:\oodass1\dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\beans\factory\annotation\MergedAnnotationTest.java,org.apache.dubbo.config.spring.beans.factory.annotation.MergedAnnotationTest$TestBean1,,2,3,0,,,,,,,,,
