file,class,type,cbo,loc,wmc
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\AndroidPredicates.java,com.facebook.common.internal.AndroidPredicates$Anonymous2,anonymous,1,5,1
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\AndroidPredicates.java,com.facebook.common.internal.AndroidPredicates$Anonymous1,anonymous,1,5,1
C:\oodass1\projects\fresco\samples\zoomable\src\main\java\com\facebook\samples\zoomable\AnimatedZoomableController.java,com.facebook.samples.zoomable.AnimatedZoomableController$Anonymous2,anonymous,6,17,4
C:\oodass1\projects\fresco\drawee\src\test\java\com\facebook\drawee\drawable\RoundedCornersDrawableTest.java,com.facebook.drawee.drawable.RoundedCornersDrawableTest,class,9,68,11
C:\oodass1\projects\fresco\samples\zoomable\src\main\java\com\facebook\samples\zoomable\AnimatedZoomableController.java,com.facebook.samples.zoomable.AnimatedZoomableController$Anonymous1,anonymous,2,6,1
C:\oodass1\projects\fresco\fbcore\src\test\java\com\facebook\datasource\DataSourceTestUtils.java,com.facebook.datasource.DataSourceTestUtils$AbstractDataSourceSupplier$Anonymous1,anonymous,4,7,1
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationDebugFragment.java,com.facebook.samples.animation2.bitmap.BitmapAnimationDebugFragment,class,26,156,6
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\pjpeg\ImageFormatProgressiveJpegFragment.java,com.facebook.fresco.samples.showcase.imageformat.pjpeg.ImageFormatProgressiveJpegFragment$SimpleUriListAdapter,innerclass,6,18,5
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\references\FinalizerCloseableReference.java,com.facebook.common.references.FinalizerCloseableReference,class,9,26,6
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\PriorityStarvingThrottlingProducer.java,com.facebook.imagepipeline.producers.PriorityStarvingThrottlingProducer$ThrottlerConsumer$Anonymous1,anonymous,1,5,1
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\postprocessor\CachedWatermarkPostprocessor.java,com.facebook.fresco.samples.showcase.postprocessor.CachedWatermarkPostprocessor,class,3,8,2
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\NetworkFetcher.java,com.facebook.imagepipeline.producers.NetworkFetcher$Callback,interface,0,5,3
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\instrumentation\Instrumentation.java,com.facebook.samples.comparison.instrumentation.Instrumentation$ImageRequestState,enum,0,1,0
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\SettableProducerContext.java,com.facebook.imagepipeline.producers.SettableProducerContext,class,10,23,7
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\LocalThumbnailBitmapSdk29Producer.java,com.facebook.imagepipeline.producers.LocalThumbnailBitmapSdk29Producer,class,17,96,3
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\ThrottlingProducer.java,com.facebook.imagepipeline.producers.ThrottlingProducer,class,11,74,5
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\DefaultEntryEvictionComparatorSupplier.java,com.facebook.cache.disk.DefaultEntryEvictionComparatorSupplier,class,4,12,1
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\holders\AQueryHolder.java,com.facebook.samples.comparison.holders.AQueryHolder,class,6,10,2
C:\oodass1\projects\fresco\samples\showcase\src\androidTest\java\com\facebook\fresco\samples\showcase\ShowcaseRunTest.java,com.facebook.fresco.samples.showcase.ShowcaseRunTest$Anonymous1,anonymous,3,11,3
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\platform\DefaultDecoder.java,com.facebook.imagepipeline.platform.DefaultDecoder,class,27,201,56
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\MultiplexProducer.java,com.facebook.imagepipeline.producers.MultiplexProducer$Multiplexer,innerclass,18,326,49
C:\oodass1\projects\fresco\drawee\src\test\java\com\facebook\drawee\drawable\RoundedBitmapDrawableTest.java,com.facebook.drawee.drawable.RoundedBitmapDrawableTest,class,15,110,14
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\pjpeg\ImageFormatProgressiveJpegFragment.java,com.facebook.fresco.samples.showcase.imageformat.pjpeg.ImageFormatProgressiveJpegFragment,class,23,99,5
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imagepipeline\ImagePipelineDownsampleFragment.java,com.facebook.fresco.samples.showcase.imagepipeline.ImagePipelineDownsampleFragment$SimpleModeOptionsAdapter,innerclass,5,18,5
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\override\ImageFormatOverrideExample.java,com.facebook.fresco.samples.showcase.imageformat.override.ImageFormatOverrideExample,class,11,12,2
C:\oodass1\projects\fresco\ui-core\src\main\java\com\facebook\drawee\drawable\ScalingUtils.java,com.facebook.drawee.drawable.ScalingUtils$ScaleType,interface,3,16,2
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\keyframes\ImageFormatKeyframesFragment.java,com.facebook.fresco.samples.showcase.imageformat.keyframes.ImageFormatKeyframesFragment$Anonymous1,anonymous,2,5,2
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\utils\SampleAnimationBackendConfigurator.java,com.facebook.samples.animation2.utils.SampleAnimationBackendConfigurator$BackendExampleEntry,innerclass,2,7,3
C:\oodass1\projects\fresco\drawee\src\test\java\com\facebook\drawee\drawable\FadeDrawableTest.java,com.facebook.drawee.drawable.FadeDrawableTest,class,13,315,30
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\MultiplexProducer.java,com.facebook.imagepipeline.producers.MultiplexProducer$Multiplexer$ForwardingConsumer,innerclass,5,54,12
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\activitylistener\ActivityListenerManager.java,com.facebook.common.activitylistener.ActivityListenerManager$Listener,innerclass,7,51,15
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\generic\RootDrawable.java,com.facebook.drawee.generic.RootDrawable,class,9,39,11
C:\oodass1\projects\fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\info\internal\ImagePerfRequestListener.java,com.facebook.drawee.backends.pipeline.info.internal.ImagePerfRequestListener,class,5,31,5
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\cache\CacheKeyFactory.java,com.facebook.imagepipeline.cache.CacheKeyFactory,interface,4,6,4
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\memory\CloseableReferences.java,com.facebook.imagepipeline.memory.CloseableReferences,class,4,14,1
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\DefaultDiskStorage.java,com.facebook.cache.disk.DefaultDiskStorage$InserterImpl,innerclass,14,65,12
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\image\ImageInfo.java,com.facebook.imagepipeline.image.ImageInfo,interface,2,8,4
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\Supplier.java,com.facebook.common.internal.Supplier,interface,2,3,1
